transaction_id,customer_id,merchant_id,amount,is_fraudulent,card_type,location,purchase_category,customer_age,transaction_description,hour,day_of_week,month,card_type_enc,location_enc,purchase_category_enc,predicted_is_fraudulent
71,1006,2016,4349.47,1,American Express,City-19,Groceries,42,Purchase at Merchant-2016,0,6,1,0,10,1,1
72,1085,2099,8175.87,0,American Express,City-13,Groceries,27,Purchase at Merchant-2099,0,6,1,0,4,1,0
73,1030,2041,9054.57,0,Visa,City-6,Retail,45,Purchase at Merchant-2041,0,6,1,3,46,4,0
74,1099,2043,1518.88,0,American Express,City-40,Retail,22,Purchase at Merchant-2043,0,6,1,0,34,4,0
75,1038,2075,9460.97,0,Visa,City-27,Restaurant,43,Purchase at Merchant-2075,0,6,1,3,19,3,0
76,1011,2095,2177.77,0,American Express,City-41,Retail,21,Purchase at Merchant-2095,0,6,1,0,35,4,0
77,1030,2050,173.73,0,American Express,City-21,Gas Station,34,Purchase at Merchant-2050,0,6,1,0,13,0,1
78,1013,2096,4728.16,0,Visa,City-11,Online Shopping,43,Purchase at Merchant-2096,0,6,1,3,2,2,1
79,1049,2096,2716.19,0,American Express,City-47,Gas Station,37,Purchase at Merchant-2096,0,6,1,0,41,0,0
80,1036,2031,1985.59,1,Discover,City-5,Groceries,33,Purchase at Merchant-2031,0,6,1,1,44,1,1
81,1059,2055,4978.25,0,MasterCard,City-45,Gas Station,19,Purchase at Merchant-2055,0,6,1,2,39,0,0
82,1082,2028,1591.58,1,MasterCard,City-29,Restaurant,64,Purchase at Merchant-2028,0,6,1,2,21,3,1
83,1047,2019,8299.48,1,Discover,City-37,Gas Station,19,Purchase at Merchant-2019,0,6,1,1,30,0,1
84,1021,2014,8539.61,1,Discover,City-48,Travel,46,Purchase at Merchant-2014,0,6,1,1,42,5,1
85,1048,2023,2783.92,0,American Express,City-3,Restaurant,28,Purchase at Merchant-2023,0,6,1,0,22,3,0
86,1046,2028,1907.56,0,Discover,City-41,Groceries,37,Purchase at Merchant-2028,0,6,1,1,35,1,0
87,1027,2036,6072.18,1,MasterCard,City-2,Groceries,47,Purchase at Merchant-2036,0,6,1,2,11,1,1
88,1086,2057,4996.38,1,Discover,City-21,Online Shopping,43,Purchase at Merchant-2057,0,6,1,1,13,2,1
89,1035,2053,4356.72,0,MasterCard,City-13,Travel,42,Purchase at Merchant-2053,0,6,1,2,4,5,0
90,1090,2033,8517.45,0,Discover,City-43,Online Shopping,62,Purchase at Merchant-2033,0,6,1,1,37,2,0
91,1088,2076,4878.55,1,American Express,City-5,Groceries,18,Purchase at Merchant-2076,0,6,1,0,44,1,0
92,1083,2008,6661.23,0,Visa,City-9,Retail,40,Purchase at Merchant-2008,0,6,1,3,49,4,0
93,1010,2063,3540.16,0,Visa,City-27,Restaurant,67,Purchase at Merchant-2063,0,6,1,3,19,3,0
94,1078,2069,1069.05,1,American Express,City-2,Restaurant,63,Purchase at Merchant-2069,0,6,1,0,11,3,1
95,1082,2048,9529.97,1,MasterCard,City-24,Groceries,31,Purchase at Merchant-2048,0,6,1,2,16,1,1
96,1022,2090,7063.18,0,Visa,City-21,Retail,22,Purchase at Merchant-2090,0,6,1,3,13,4,0
97,1069,2015,6082.1,0,American Express,City-45,Gas Station,31,Purchase at Merchant-2015,0,6,1,0,39,0,0
98,1094,2041,1423.36,1,MasterCard,City-32,Gas Station,57,Purchase at Merchant-2041,0,6,1,2,25,0,1
99,1032,2070,5192.44,0,American Express,City-20,Retail,63,Purchase at Merchant-2070,0,6,1,0,12,4,0
100,1021,2055,4947.37,0,American Express,City-4,Groceries,48,Purchase at Merchant-2055,0,6,1,0,33,1,0
101,1060,2061,2171.87,0,Visa,City-9,Travel,66,Purchase at Merchant-2061,0,6,1,3,49,5,0
102,1049,2088,4910.16,1,American Express,City-41,Travel,51,Purchase at Merchant-2088,0,6,1,0,35,5,1
103,1035,2032,9569.0,0,Discover,City-35,Restaurant,31,Purchase at Merchant-2032,0,6,1,1,28,3,1
104,1082,2036,6318.77,1,MasterCard,City-49,Travel,47,Purchase at Merchant-2036,0,6,1,2,43,5,1
105,1089,2019,3392.42,0,Visa,City-20,Gas Station,36,Purchase at Merchant-2019,0,6,1,3,12,0,0
106,1072,2047,3113.01,1,Discover,City-22,Retail,48,Purchase at Merchant-2047,0,6,1,1,14,4,1
107,1029,2061,6188.62,1,Discover,City-40,Groceries,42,Purchase at Merchant-2061,0,6,1,1,34,1,0
108,1088,2092,6120.15,0,American Express,City-24,Retail,42,Purchase at Merchant-2092,0,6,1,0,16,4,1
109,1042,2048,5995.17,0,MasterCard,City-35,Restaurant,68,Purchase at Merchant-2048,0,6,1,2,28,3,0
110,1099,2040,5301.07,0,American Express,City-49,Online Shopping,64,Purchase at Merchant-2040,0,6,1,0,43,2,0
111,1100,2003,3417.56,0,MasterCard,City-29,Travel,56,Purchase at Merchant-2003,0,6,1,2,21,5,0
112,1008,2083,3739.81,1,American Express,City-28,Restaurant,68,Purchase at Merchant-2083,0,6,1,0,20,3,1
113,1030,2078,6888.26,1,Visa,City-37,Groceries,32,Purchase at Merchant-2078,0,6,1,3,30,1,1
114,1005,2005,1290.05,0,Discover,City-21,Travel,49,Purchase at Merchant-2005,0,6,1,1,13,5,0
115,1041,2095,5657.62,1,Discover,City-24,Online Shopping,48,Purchase at Merchant-2095,0,6,1,1,16,2,1
116,1052,2085,4740.5,1,Discover,City-37,Online Shopping,64,Purchase at Merchant-2085,0,6,1,1,30,2,1
117,1035,2007,186.92,0,American Express,City-7,Online Shopping,48,Purchase at Merchant-2007,0,6,1,0,47,2,1
118,1009,2089,3706.39,1,Visa,City-41,Retail,68,Purchase at Merchant-2089,0,6,1,3,35,4,1
119,1028,2086,2468.64,0,Discover,City-11,Groceries,29,Purchase at Merchant-2086,0,6,1,1,2,1,0
120,1073,2031,9446.32,0,Discover,City-27,Online Shopping,37,Purchase at Merchant-2031,0,6,1,1,19,2,0
121,1092,2033,6885.93,0,American Express,City-34,Restaurant,67,Purchase at Merchant-2033,0,6,1,0,27,3,0
122,1041,2071,9102.36,0,American Express,City-6,Online Shopping,65,Purchase at Merchant-2071,0,6,1,0,46,2,1
123,1028,2050,9026.52,0,Discover,City-15,Travel,29,Purchase at Merchant-2050,0,6,1,1,6,5,0
124,1084,2040,6342.38,0,American Express,City-3,Groceries,34,Purchase at Merchant-2040,0,6,1,0,22,1,0
125,1064,2082,9019.38,1,Visa,City-32,Restaurant,28,Purchase at Merchant-2082,0,6,1,3,25,3,0
126,1051,2090,4767.11,0,Visa,City-34,Retail,48,Purchase at Merchant-2090,0,6,1,3,27,4,0
127,1083,2047,2812.51,1,Visa,City-16,Travel,50,Purchase at Merchant-2047,0,6,1,3,7,5,1
128,1059,2088,3414.17,1,Discover,City-29,Restaurant,37,Purchase at Merchant-2088,0,6,1,1,21,3,1
129,1019,2016,7940.24,0,Discover,City-14,Restaurant,68,Purchase at Merchant-2016,0,6,1,1,5,3,0
130,1034,2069,6986.31,1,Discover,City-7,Groceries,62,Purchase at Merchant-2069,0,6,1,1,47,1,1
131,1018,2031,9019.54,0,MasterCard,City-34,Groceries,22,Purchase at Merchant-2031,0,6,1,2,27,1,0
132,1032,2057,9655.08,1,Discover,City-45,Gas Station,29,Purchase at Merchant-2057,0,6,1,1,39,0,1
133,1096,2050,7818.14,0,American Express,City-45,Travel,52,Purchase at Merchant-2050,0,6,1,0,39,5,0
134,1072,2002,5727.03,0,Visa,City-16,Groceries,60,Purchase at Merchant-2002,0,6,1,3,7,1,0
135,1069,2051,9114.69,1,Discover,City-23,Groceries,49,Purchase at Merchant-2051,0,6,1,1,15,1,1
136,1034,2033,7083.97,1,MasterCard,City-38,Groceries,58,Purchase at Merchant-2033,0,6,1,2,31,1,1
137,1096,2039,6097.78,1,Discover,City-20,Restaurant,44,Purchase at Merchant-2039,0,6,1,1,12,3,1
138,1075,2012,8135.09,1,American Express,City-7,Travel,67,Purchase at Merchant-2012,0,6,1,0,47,5,1
139,1055,2097,2498.5,1,MasterCard,City-11,Groceries,68,Purchase at Merchant-2097,0,6,1,2,2,1,1
140,1075,2031,5637.35,1,Discover,City-48,Restaurant,24,Purchase at Merchant-2031,0,6,1,1,42,3,1
141,1052,2039,8906.66,0,Discover,City-16,Gas Station,26,Purchase at Merchant-2039,0,6,1,1,7,0,0
142,1047,2027,3141.47,0,Visa,City-49,Travel,66,Purchase at Merchant-2027,0,6,1,3,43,5,0
143,1029,2021,8808.47,0,Visa,City-48,Restaurant,65,Purchase at Merchant-2021,0,6,1,3,42,3,0
144,1018,2057,3847.59,0,MasterCard,City-17,Travel,50,Purchase at Merchant-2057,0,6,1,2,8,5,0
145,1066,2081,1492.07,0,American Express,City-21,Groceries,27,Purchase at Merchant-2081,0,6,1,0,13,1,0
146,1064,2041,3223.33,0,MasterCard,City-38,Travel,45,Purchase at Merchant-2041,0,6,1,2,31,5,1
147,1012,2099,5297.06,1,Visa,City-46,Gas Station,24,Purchase at Merchant-2099,0,6,1,3,40,0,1
148,1097,2083,4632.27,0,Discover,City-12,Online Shopping,28,Purchase at Merchant-2083,0,6,1,1,3,2,0
149,1007,2053,9005.3,1,American Express,City-13,Gas Station,35,Purchase at Merchant-2053,0,6,1,0,4,0,1
150,1015,2005,9471.97,1,American Express,City-12,Gas Station,63,Purchase at Merchant-2005,0,6,1,0,3,0,1
151,1020,2036,7280.99,0,MasterCard,City-24,Groceries,55,Purchase at Merchant-2036,0,6,1,2,16,1,0
152,1081,2011,678.59,0,American Express,City-45,Travel,57,Purchase at Merchant-2011,0,6,1,0,39,5,0
153,1021,2100,3901.87,1,MasterCard,City-34,Restaurant,53,Purchase at Merchant-2100,0,6,1,2,27,3,0
154,1088,2063,1939.89,0,Discover,City-4,Gas Station,47,Purchase at Merchant-2063,0,6,1,1,33,0,0
155,1055,2061,7701.76,0,Visa,City-48,Online Shopping,46,Purchase at Merchant-2061,0,6,1,3,42,2,0
156,1077,2095,7121.96,0,American Express,City-12,Restaurant,56,Purchase at Merchant-2095,0,6,1,0,3,3,0
157,1009,2053,3644.19,0,Discover,City-19,Online Shopping,54,Purchase at Merchant-2053,0,6,1,1,10,2,0
158,1050,2043,7779.82,1,Visa,City-23,Online Shopping,56,Purchase at Merchant-2043,0,6,1,3,15,2,0
159,1049,2092,4742.73,1,American Express,City-21,Restaurant,36,Purchase at Merchant-2092,0,6,1,0,13,3,1
160,1077,2055,2241.1,0,Visa,City-32,Gas Station,60,Purchase at Merchant-2055,0,6,1,3,25,0,0
161,1060,2013,40.5,1,Discover,City-5,Groceries,50,Purchase at Merchant-2013,0,6,1,1,44,1,1
162,1068,2021,3568.13,0,MasterCard,City-7,Travel,22,Purchase at Merchant-2021,0,6,1,2,47,5,0
163,1033,2090,6210.32,1,Discover,City-50,Groceries,55,Purchase at Merchant-2090,0,6,1,1,45,1,0
164,1071,2034,5623.16,1,American Express,City-25,Restaurant,37,Purchase at Merchant-2034,0,6,1,0,17,3,1
165,1002,2065,7839.01,1,Visa,City-12,Groceries,62,Purchase at Merchant-2065,0,6,1,3,3,1,1
166,1088,2009,9567.11,1,Discover,City-45,Retail,20,Purchase at Merchant-2009,0,6,1,1,39,4,1
167,1093,2046,4852.13,1,American Express,City-30,Travel,44,Purchase at Merchant-2046,0,6,1,0,23,5,1
168,1015,2054,3148.54,1,Discover,City-18,Gas Station,63,Purchase at Merchant-2054,0,6,1,1,9,0,1
169,1088,2078,8833.3,1,MasterCard,City-50,Online Shopping,53,Purchase at Merchant-2078,0,6,1,2,45,2,1
170,1069,2094,2008.58,0,Discover,City-14,Retail,25,Purchase at Merchant-2094,0,6,1,1,5,4,0
171,1097,2071,8109.18,1,MasterCard,City-22,Travel,29,Purchase at Merchant-2071,0,6,1,2,14,5,1
172,1035,2095,1890.07,0,Visa,City-7,Online Shopping,47,Purchase at Merchant-2095,0,6,1,3,47,2,0
173,1099,2042,9237.85,0,MasterCard,City-19,Restaurant,40,Purchase at Merchant-2042,0,6,1,2,10,3,0
174,1083,2059,6054.76,1,MasterCard,City-39,Retail,43,Purchase at Merchant-2059,0,6,1,2,32,4,1
175,1044,2089,2963.24,1,Discover,City-9,Online Shopping,23,Purchase at Merchant-2089,0,6,1,1,49,2,1
176,1015,2004,615.02,0,MasterCard,City-33,Restaurant,64,Purchase at Merchant-2004,0,6,1,2,26,3,0
177,1038,2098,8848.87,1,American Express,City-27,Retail,18,Purchase at Merchant-2098,0,6,1,0,19,4,1
178,1056,2007,5239.79,1,Discover,City-13,Groceries,36,Purchase at Merchant-2007,0,6,1,1,4,1,1
179,1021,2083,5046.25,0,Visa,City-9,Groceries,20,Purchase at Merchant-2083,0,6,1,3,49,1,0
180,1059,2083,2489.78,1,MasterCard,City-32,Travel,53,Purchase at Merchant-2083,0,6,1,2,25,5,1
181,1001,2024,3766.33,0,American Express,City-45,Travel,45,Purchase at Merchant-2024,0,6,1,0,39,5,0
182,1093,2081,7009.45,1,Discover,City-4,Travel,48,Purchase at Merchant-2081,0,6,1,1,33,5,1
183,1093,2057,8528.48,0,Discover,City-10,Retail,30,Purchase at Merchant-2057,0,6,1,1,1,4,0
184,1034,2083,2988.79,0,MasterCard,City-14,Restaurant,27,Purchase at Merchant-2083,0,6,1,2,5,3,0
185,1065,2018,2050.36,1,Visa,City-7,Restaurant,38,Purchase at Merchant-2018,0,6,1,3,47,3,0
186,1098,2001,2968.07,1,MasterCard,City-30,Retail,68,Purchase at Merchant-2001,0,6,1,2,23,4,1
187,1023,2052,297.92,1,MasterCard,City-17,Groceries,51,Purchase at Merchant-2052,0,6,1,2,8,1,1
188,1065,2026,6443.44,1,Visa,City-41,Restaurant,43,Purchase at Merchant-2026,0,6,1,3,35,3,1
189,1014,2081,4220.02,0,Visa,City-3,Restaurant,50,Purchase at Merchant-2081,0,6,1,3,22,3,0
190,1081,2040,3692.63,0,American Express,City-9,Online Shopping,35,Purchase at Merchant-2040,0,6,1,0,49,2,0
191,1039,2041,7760.21,1,Discover,City-34,Gas Station,51,Purchase at Merchant-2041,0,6,1,1,27,0,1
192,1082,2074,9929.87,1,American Express,City-48,Groceries,22,Purchase at Merchant-2074,0,6,1,0,42,1,1
193,1065,2011,4472.38,1,Visa,City-5,Retail,19,Purchase at Merchant-2011,0,6,1,3,44,4,1
194,1078,2015,3826.37,1,American Express,City-3,Online Shopping,42,Purchase at Merchant-2015,0,6,1,0,22,2,1
195,1026,2021,1578.21,0,MasterCard,City-25,Restaurant,28,Purchase at Merchant-2021,0,6,1,2,17,3,0
196,1020,2032,4446.95,0,MasterCard,City-1,Retail,35,Purchase at Merchant-2032,0,6,1,2,0,4,1
197,1048,2067,3147.73,1,American Express,City-50,Retail,47,Purchase at Merchant-2067,0,6,1,0,45,4,1
198,1098,2092,9369.66,1,MasterCard,City-41,Online Shopping,22,Purchase at Merchant-2092,0,6,1,2,35,2,1
199,1021,2099,4564.87,0,American Express,City-32,Groceries,42,Purchase at Merchant-2099,0,6,1,0,25,1,0
200,1070,2084,1985.83,1,Discover,City-25,Groceries,40,Purchase at Merchant-2084,0,6,1,1,17,1,1
201,1100,2098,6069.36,1,Discover,City-15,Online Shopping,43,Purchase at Merchant-2098,0,6,1,1,6,2,1
202,1068,2017,2854.78,0,Visa,City-19,Travel,57,Purchase at Merchant-2017,0,6,1,3,10,5,0
203,1001,2077,5868.94,0,Visa,City-18,Retail,30,Purchase at Merchant-2077,0,6,1,3,9,4,1
204,1077,2088,3234.81,1,Visa,City-14,Groceries,58,Purchase at Merchant-2088,0,6,1,3,5,1,1
205,1042,2053,179.39,0,American Express,City-14,Travel,66,Purchase at Merchant-2053,0,6,1,0,5,5,0
206,1063,2041,533.71,1,Discover,City-18,Restaurant,62,Purchase at Merchant-2041,0,6,1,1,9,3,1
207,1003,2058,3272.11,0,MasterCard,City-44,Gas Station,68,Purchase at Merchant-2058,0,6,1,2,38,0,0
208,1015,2062,4776.24,0,Discover,City-27,Retail,68,Purchase at Merchant-2062,0,6,1,1,19,4,0
209,1047,2095,1426.11,1,Visa,City-1,Restaurant,52,Purchase at Merchant-2095,0,6,1,3,0,3,1
210,1040,2018,8319.73,0,MasterCard,City-12,Retail,65,Purchase at Merchant-2018,0,6,1,2,3,4,0
211,1031,2034,3756.54,0,Visa,City-42,Retail,44,Purchase at Merchant-2034,0,6,1,3,36,4,0
212,1008,2023,264.4,1,MasterCard,City-48,Travel,38,Purchase at Merchant-2023,0,6,1,2,42,5,1
213,1031,2088,4348.25,0,American Express,City-25,Restaurant,22,Purchase at Merchant-2088,0,6,1,0,17,3,1
214,1073,2076,3245.6,1,Visa,City-14,Groceries,29,Purchase at Merchant-2076,0,6,1,3,5,1,1
215,1011,2042,1788.2,1,MasterCard,City-16,Online Shopping,19,Purchase at Merchant-2042,0,6,1,2,7,2,1
216,1011,2037,6134.69,0,Discover,City-47,Gas Station,39,Purchase at Merchant-2037,0,6,1,1,41,0,0
217,1094,2026,7607.71,1,American Express,City-24,Travel,34,Purchase at Merchant-2026,0,6,1,0,16,5,1
218,1063,2011,6439.77,1,MasterCard,City-26,Online Shopping,25,Purchase at Merchant-2011,0,6,1,2,18,2,1
219,1009,2054,3246.9,1,MasterCard,City-18,Groceries,40,Purchase at Merchant-2054,0,6,1,2,9,1,1
220,1098,2048,7567.35,1,American Express,City-5,Online Shopping,68,Purchase at Merchant-2048,0,6,1,0,44,2,1
221,1069,2024,403.42,1,Discover,City-46,Restaurant,26,Purchase at Merchant-2024,0,6,1,1,40,3,1
222,1099,2051,5121.97,1,American Express,City-26,Groceries,50,Purchase at Merchant-2051,0,6,1,0,18,1,1
223,1017,2049,7230.54,0,Discover,City-41,Online Shopping,19,Purchase at Merchant-2049,0,6,1,1,35,2,0
224,1017,2074,7139.5,1,Discover,City-12,Groceries,64,Purchase at Merchant-2074,0,6,1,1,3,1,1
225,1085,2029,4971.8,0,Visa,City-38,Travel,48,Purchase at Merchant-2029,0,6,1,3,31,5,0
226,1061,2003,9270.22,1,Discover,City-36,Retail,50,Purchase at Merchant-2003,0,6,1,1,29,4,1
227,1071,2003,1407.72,0,Visa,City-43,Groceries,44,Purchase at Merchant-2003,0,6,1,3,37,1,0
228,1022,2072,1031.51,0,Discover,City-32,Online Shopping,66,Purchase at Merchant-2072,0,6,1,1,25,2,0
229,1034,2083,1642.18,0,Visa,City-3,Restaurant,37,Purchase at Merchant-2083,0,6,1,3,22,3,0
230,1068,2079,7141.4,1,Visa,City-11,Travel,47,Purchase at Merchant-2079,0,6,1,3,2,5,1
231,1078,2081,927.68,0,Discover,City-22,Restaurant,67,Purchase at Merchant-2081,0,6,1,1,14,3,0
232,1055,2030,3609.57,0,American Express,City-10,Restaurant,48,Purchase at Merchant-2030,0,6,1,0,1,3,0
233,1028,2012,3577.24,1,Discover,City-7,Groceries,18,Purchase at Merchant-2012,0,6,1,1,47,1,1
234,1070,2060,820.78,0,Visa,City-24,Online Shopping,25,Purchase at Merchant-2060,0,6,1,3,16,2,1
235,1097,2026,3442.3,0,American Express,City-47,Online Shopping,44,Purchase at Merchant-2026,0,6,1,0,41,2,0
236,1094,2034,705.07,1,MasterCard,City-47,Online Shopping,55,Purchase at Merchant-2034,0,6,1,2,41,2,1
237,1089,2090,4011.59,0,MasterCard,City-6,Gas Station,42,Purchase at Merchant-2090,0,6,1,2,46,0,0
238,1026,2022,630.88,1,Discover,City-18,Travel,26,Purchase at Merchant-2022,0,6,1,1,9,5,1
239,1092,2007,4169.37,0,Visa,City-44,Online Shopping,19,Purchase at Merchant-2007,0,6,1,3,38,2,1
